job_name                                                    ;walltime  ;nproc_io  ;nprocs    ;nnode     ;nthreads  ;nnode_fc  ;ntask_fc  ;nopmp_fc  ;nnode_io  ;ntask_io  ;nopmp_io  ;
L2_FCTI_NHE_SL2_VFD_ADIAB_RDBBC2_PCF_NESC                   ;        10;         0;         1;         1;       128;         1;         1;       128;         0;         0;         0;
L2_FCST_NHE_SL2_VFD_ADIAB_GWADV2_PCF_NESC                   ;        10;         0;         1;         1;       128;         1;         1;       128;         0;         0;         0;
L2_FCTI_NHE_SL2_VFD_ADIAB_GWADV2_PCF_NESC                   ;        10;         0;         1;         1;       128;         1;         1;       128;         0;         0;         0;
L2_FCST_NHQ_SL2_VFD_ADIAB_RDBBC2_PCF_SETTLS                 ;        10;         0;         1;         1;       128;         1;         1;       128;         0;         0;         0;
L2_FCTI_NHQ_SL2_VFD_ADIAB_RDBBC2_PCF_SETTLS                 ;        10;         0;         1;         1;       128;         1;         1;       128;         0;         0;         0;
L2_FCST_NHQ_SL2_VFD_ADIAB_RDBBC2_PCF_NESC                   ;        10;         0;         1;         1;       128;         1;         1;       128;         0;         0;         0;
L2_FCTI_NHQ_SL2_VFD_ADIAB_RDBBC2_PCF_NESC                   ;        10;         0;         1;         1;       128;         1;         1;       128;         0;         0;         0;
L2_FCST_NHQ_SL2_VFD_ADIAB_GWADV2_PCF_NESC                   ;        10;         0;         1;         1;       128;         1;         1;       128;         0;         0;         0;
L2_FCTI_NHQ_SL2_VFD_ADIAB_GWADV2_PCF_NESC                   ;        10;         0;         1;         1;       128;         1;         1;       128;         0;         0;         0;
GM_FPOF_HYD_SPLELAM_COU                                     ;        10;         0;       128;         8;         8;         8;        16;         8;         0;         0;         0;
GM_FPOF_HYD_SPLELAM_ARU                                     ;        10;         0;       128;         8;         8;         8;        16;         8;         0;         0;         0;
L3_FPOF_HYD_SPLELAM_ARUNES                                  ;        10;         0;       128;         8;         8;         8;        16;         8;         0;         0;         0;
L3_FPOF_HYD_MODEL                                           ;        10;         0;       128;         8;         8;         8;        16;         8;         0;         0;         0;
L3_FPOF_HYD_GPLELAM_CI_GRI1                                 ;        10;         0;       128;         8;         8;         8;        16;         8;         0;         0;         0;
L3_FPOF_HYD_GPLELAM_CI_GRI2                                 ;        10;         0;       128;         8;         8;         8;        16;         8;         0;         0;         0;
L3_FPOF_HYD_GPLALON_LAL                                     ;        10;         0;       128;         8;         8;         8;        16;         8;         0;         0;         0;
L3_FPOF_HYD_GPLELAM_CIE_LAM1                                ;        10;         0;       128;         8;         8;         8;        16;         8;         0;         0;         0;
GM_FPOF_HYD_SPLELAM_CIE_LAM2                                ;        10;         0;        32;         2;         8;         2;        16;         8;         0;         0;         0;
L3_FPOF_HYD_GPLALON_OPE2_ARPPHYISBA                         ;        10;         0;       128;         8;         8;         8;        16;         8;         0;         0;         0;
